game,round,scoreA,scoreB,percentA,showScore,superid,behavior,e_behavior,initial_score,cumulativePayoff,e_cumulativePayoff,e_degree,local_avg_wealth,local_rate_coop
10,2,500,500,0.5,false,1013,1,1,500,500,450,7,693.75,0.571428571428571
10,2,500,500,0.5,false,1014,0,0,500,1800,1200,8,644.444444444444,0.75
10,2,500,500,0.5,false,1015,1,1,500,950,550,8,672.222222222222,0.75
10,2,500,500,0.5,false,1017,1,0,500,1200,1000,4,660,1
10,2,500,500,0.5,false,1018,0,0,500,700,600,3,787.5,0.333333333333333
11,2,700,300,0.5,true,1100,1,1,300,350,250,6,671.428571428571,0.833333333333333
11,2,700,300,0.5,true,1101,0,1,300,500,200,9,655,0.444444444444444
11,2,700,300,0.5,true,1102,1,1,300,250,300,11,570.833333333333,0.727272727272727
11,2,700,300,0.5,true,1104,0,0,700,1100,1000,8,566.666666666667,0.25
11,2,700,300,0.5,true,1105,0,0,300,600,500,6,514.285714285714,0.5
11,2,700,300,0.5,true,1106,1,1,700,800,800,8,622.222222222222,0.5
11,2,700,300,0.5,true,1108,1,1,700,700,700,6,642.857142857143,0.666666666666667
11,2,700,300,0.5,true,1109,0,0,300,700,500,5,600,0.4
11,2,700,300,0.5,true,1110,0,0,300,800,700,6,685.714285714286,0.5
11,2,700,300,0.5,true,1111,0,0,300,600,500,5,766.666666666667,0.4
11,2,700,300,0.5,true,1112,0,0,300,900,700,8,633.333333333333,0.625
11,2,700,300,0.5,true,1113,0,0,300,600,400,8,644.444444444444,0.5
11,2,700,300,0.5,true,1114,0,0,300,800,500,10,731.818181818182,0.4
11,2,700,300,0.5,true,1115,1,0,700,1400,1400,8,644.444444444444,0.875
11,2,700,300,0.5,true,1116,0,1,700,1200,700,13,582.142857142857,0.461538461538462
11,2,700,300,0.5,true,1117,0,0,700,1200,900,7,556.25,0.428571428571429
11,2,700,300,0.5,true,1119,1,1,700,550,600,11,675,0.454545454545455
11,2,700,300,0.5,true,1120,0,1,700,1150,650,10,627.272727272727,0.6
11,2,700,300,0.5,true,1121,1,1,700,700,750,7,668.75,0.571428571428571
12,2,700,300,0.5,false,1200,1,1,300,500,450,13,567.857142857143,0.692307692307692
12,2,700,300,0.5,false,1201,0,1,300,900,200,11,600,0.545454545454545
12,2,700,300,0.5,false,1202,0,0,300,1100,700,8,611.111111111111,0.5
12,2,700,300,0.5,false,1203,0,0,300,700,400,7,731.25,0.285714285714286
12,2,700,300,0.5,false,1204,0,0,700,1500,1100,8,638.888888888889,0.5
12,2,700,300,0.5,false,1205,0,1,300,800,400,4,530,0.75
12,2,700,300,0.5,false,1209,1,0,700,1050,1000,7,606.25,0.571428571428571
12,2,700,300,0.5,false,1210,1,0,700,550,700,5,883.333333333333,0
12,2,700,300,0.5,false,1212,1,1,300,-50,150,12,657.692307692308,0.416666666666667
12,2,700,300,0.5,false,1213,0,0,700,1200,800,7,631.25,0.285714285714286
12,2,700,300,0.5,false,1214,1,1,700,850,650,12,650,0.5
12,2,700,300,0.5,false,1215,1,1,300,550,400,5,525,0.8
12,2,700,300,0.5,false,1217,0,0,300,900,600,5,525,0.6
12,2,700,300,0.5,false,1218,1,1,700,850,800,5,741.666666666667,0.8
12,2,700,300,0.5,false,1219,0,0,700,1300,1000,5,783.333333333333,0.4
12,2,700,300,0.5,false,1220,1,1,300,450,400,9,620,0.666666666666667
12,2,700,300,0.5,false,1221,1,1,300,300,400,8,577.777777777778,0.75
12,2,700,300,0.5,false,1222,1,0,300,1050,1000,9,495,0.777777777777778
12,2,700,300,0.5,false,1224,1,1,700,950,700,11,637.5,0.636363636363636
12,2,700,300,0.5,false,1226,0,0,300,1300,800,8,594.444444444444,0.625
12,2,700,300,0.5,false,1227,0,0,300,800,600,5,583.333333333333,0.6
13,2,500,500,0.5,false,1300,1,1,500,650,450,6,700,0.833333333333333
13,2,500,500,0.5,false,1303,1,1,500,750,650,4,620,1
13,2,500,500,0.5,false,1304,1,1,500,900,700,6,664.285714285714,1
13,2,500,500,0.5,false,1305,1,1,500,1050,800,7,706.25,0.857142857142857
13,2,500,500,0.5,false,1306,0,0,500,1900,1200,8,722.222222222222,0.875
13,2,500,500,0.5,false,1307,1,1,500,950,700,9,625,1
13,2,500,500,0.5,false,1309,1,1,500,650,500,7,775,0.571428571428571
13,2,500,500,0.5,false,1310,1,1,500,950,550,8,644.444444444444,0.875
13,2,500,500,0.5,false,1311,1,1,500,900,650,5,633.333333333333,1
13,2,500,500,0.5,false,1313,1,1,500,850,650,8,655.555555555556,0.875
13,2,500,500,0.5,false,1314,1,1,500,700,600,4,680,1
13,2,500,500,0.5,false,1315,0,0,500,1300,900,5,708.333333333333,0.8
13,2,500,500,0.5,false,1316,1,1,500,850,700,7,693.75,0.857142857142857
13,2,500,500,0.5,false,1317,1,1,500,700,600,8,800,0.625
13,2,500,500,0.5,false,1318,1,1,500,750,600,7,743.75,0.714285714285714
13,2,500,500,0.5,false,1319,1,0,500,1100,1000,6,771.428571428571,0.666666666666667
13,2,500,500,0.5,false,1324,0,1,500,1150,650,7,756.25,0.714285714285714
14,2,700,300,0.5,true,1400,1,1,300,300,350,7,487.5,0.714285714285714
14,2,700,300,0.5,true,1402,0,1,300,850,250,9,540,0.555555555555556
14,2,700,300,0.5,true,1404,1,0,300,550,600,5,550,0.6
14,2,700,300,0.5,true,1405,0,1,300,300,300,5,425,0.6
14,2,700,300,0.5,true,1406,0,0,300,1300,900,7,531.25,0.857142857142857
14,2,700,300,0.5,true,1407,1,1,700,600,650,5,516.666666666667,0.8
14,2,700,300,0.5,true,1408,0,1,300,600,200,9,520,0.555555555555556
14,2,700,300,0.5,true,1410,1,0,700,1050,1000,3,625,0.666666666666667
14,2,700,300,0.5,true,1412,0,0,300,600,600,4,330,1
14,2,700,300,0.5,true,1413,1,0,300,500,700,4,410,1
14,2,700,300,0.5,true,1414,0,1,300,700,300,9,460,0.777777777777778
14,2,700,300,0.5,true,1415,0,1,700,700,600,4,540,0.5
14,2,700,300,0.5,true,1416,1,1,700,650,650,4,570,0.75
14,2,700,300,0.5,true,1417,1,1,700,600,650,3,525,0.666666666666667
15,2,700,300,0.5,false,1500,1,1,300,800,400,10,736.363636363636,0.8
15,2,700,300,0.5,false,1501,0,0,300,1400,900,6,757.142857142857,0.666666666666667
15,2,700,300,0.5,false,1502,1,1,300,550,350,6,592.857142857143,0.833333333333333
15,2,700,300,0.5,false,1503,1,1,300,650,300,9,760,0.666666666666667
15,2,700,300,0.5,false,1504,1,1,700,750,600,9,910,0.444444444444444
15,2,700,300,0.5,false,1505,1,1,700,1150,850,6,664.285714285714,1
